id,word_vocalized,word_clean,root,pos,fusha_equivalent,definition,region,synonyms,phonetic_variants,note,source,examples,proverbs,tags
486,المِشْعَبَة,المشعبة,شعب,Noun,سلم خشبي (مرقاة),سلم بسيط من الخشب يستخدم للتسلق.,General,"[""شربيعة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 75,"[{""h"": ""حط المشعبة قبال السور."", ""f"": ""ضع السلم الخشبي أمام السور.""}]",[],"[""Tools"", ""Wood""]"
487,الشَّلْحَة,الشلحة,شلح,Noun,تنورة داخلية,لباس داخلي تلبسه المرأة تحت الثوب، يمتد من الكتف إلى ما تحت الركبة.,General,"[""لباس داخلي""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 76,"[{""h"": ""تلبس الشلحة تحت الدرع."", ""f"": ""تلبس التنورة الداخلية تحت الثوب الحضرمي.""}]",[],"[""Clothing"", ""Women"", ""Dress""]"
488,شَزَر,شزر,شزر,Noun,وحدة قياس,وحدة قياس تقليدية تستخدم لتقدير الأطوال.,General,"[""قياس""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 76,"[{""h"": ""قيس المسافة بالشزر."", ""f"": ""قم بقياس المسافة بوحدة الشزر.""}]",[],"[""Measurements"", ""Length""]"
489,الشَّوَى,الشوى,شوي,Noun,البطن / الأحشاء,تستخدم للإشارة إلى منطقة البطن أو الأمعاء.,General,"[""بطن"", ""كرش""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 76,"[{""h"": ""شواه توجعه من كثر الأكل."", ""f"": ""بطنه تؤلمه من كثرة الأكل.""}]","[""إذا شبعت غط شواك""]","[""Body Parts"", ""Health"", ""Stomach""]"
490,الشَّمِيز,الشميز,شمز,Noun,قميص رجالي,القميص الذي يلبسه الرجل فوق الإزار أو السروال.,General,"[""قميص""]",[],الكلمة مأخوذة من 'Chemise' الفرنسية أو الإنجليزية.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 76,"[{""h"": ""لبس شميز أبيض في العرس."", ""f"": ""لبس قميصاً أبيض في حفل الزفاف.""}]",[],"[""Clothing"", ""Man""]"
491,الشِّمْرَاخ,الشمراخ,شمرخ,Noun,عذق التمر,الغصن الصغير الذي يحمل حبات التمر في العذق (الخيل).,General,"[""عذق صغير""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 76,"[{""h"": ""شل لك شمراخ تمر كله."", ""f"": ""خذ غصناً من التمر وكله.""}]",[],"[""Agriculture"", ""Nature"", ""Tree""]"
492,شَبّ,شب,شبب,Verb,أوقد / أشعل,فعل يعني إشعال النار وجعلها تتقد.,General,"[""أشعل"", ""ولّع""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 76,"[{""h"": ""شب الضوء با نسوي شاهي."", ""f"": ""أوقد النار لنصنع الشاي.""}]",[],"[""Action"", ""Daily Life"", ""Fire""]"
493,شَاف,شاف,شوف,Verb,رأى / نظر,فعل يعني الرؤية بالعين.,General,"[""بصر"", ""نظر""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 76,"[{""h"": ""شفته أمس في السوق."", ""f"": ""رأيته بالأمس في السوق.""}]",[],"[""Action"", ""Sight""]"
494,شَعَق,شعق,شعق,Verb,مزق / خرق,فعل يعني تمزيق الثوب أو الورق أو إحداث خرق فيه.,General,"[""شق"", ""مزق""]",[],بضم الشين والعين,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 76,"[{""h"": ""شعق ثوبه وهو يلعب."", ""f"": ""مزق ثوبه وهو يلعب.""}, {""h"": "" شعق التاير حق السيكل."", ""f"": ""مزق اطار السيكل.""}]",[],"[""Action"", ""Clothing"", ""Bicycle""]"
495,الصَّبَاطَة,الصباطه,صبط,Noun,معالجة النورة (الجير),عملية ضرب ومعالجة مادة النورة بعد استخراجها لتصبح ناعمة وبيضاء.,General,"[""تنعيم النورة""]",[],من مهن البناء التقليدية في حضرموت.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 77,"[{""h"": ""العمال يقون الصباطة للنورة."", ""f"": ""العمال يعالجون الجير (النورة) لتنعيمه.""}]",[],"[""Jobs"", ""Building"", ""Construction""]"
496,شَنَّة,شنه,شنن,Noun,وعاء جلدي قديم,قربة قديمة بالية من الجلد تستخدم لحفظ الماء وتبريده.,General,"[""قربة""]",[],تختلف عن الشول بأنها غالباً ما تكون أقدم أو أكبر.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 77,"[{""h"": ""الماء في الشنة بارد جداً."", ""f"": ""الماء في القربة الجلدية بارد جداً.""}]",[],"[""Tools"", ""Water"", ""Jar""]"
497,الشَّارِح,الشارح,شرح,Noun,خبير النخيل,المزارع المتخصص في رعاية النخيل (تلقيح، تنظيف، حصاد).,General,"[""مزارع نخيل"", ""خبير""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 77,"[{""h"": ""جابوا الشارح يصلح النخل."", ""f"": ""أحضروا خبير النخيل ليعتني بالنخيل.""}]",[],"[""Jobs"", ""Agriculture"", ""Palm Tree""]"
498,الشَّقَى,الشقى,شقي,Noun,الأجر اليومي,المبلغ المالي الذي يتقاضاه العامل مقابل عمل يوم واحد.,General,"[""أجرة"", ""تعب""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 77,"[{""h"": ""أعطى العمال شقاهم."", ""f"": ""أعطى العمال أجرهم اليومي.""}]",[],"[""Jobs"", ""Money"", ""Daily Life""]"
499,الصَّلُول,الصلول,صلل,Noun,آلام المفاصل,وجع يصيب المفاصل أو العضلات، خاصة في الظهر أو الجوانب.,General,"[""ألم"", ""وجع""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 78,"[{""h"": ""فيني صلول في ظهري اليوم."", ""f"": ""أشعر بألم في مفاصلي وظهري اليوم.""}]",[],"[""Health"", ""Emotions"", ""Back"", ""Leg""]"
500,الصَّمِيل,الصميل,صمل,Noun,عصا غليظة,عصا قوية وغليظة تستخدم للضرب أو التوكؤ.,General,"[""عصا"", ""هراوة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 78,"[{""h"": ""شل الصميل معه ليفزع الكلاب."", ""f"": ""أخذ العصا الغليظة معه ليخيف الكلاب.""}]",[],"[""Tools"", ""Stick""]"
501,الصَّلِيق,الصليق,صلق,Noun,زغاريد,الأصوات التي تطلقها النساء في الأفراح تعبيراً عن البهجة.,General,"[""زغاريد"", ""يباب""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 78,"[{""h"": ""سمعنا صليق الحريم من بيت الجيران."", ""f"": ""سمعنا زغاريد النساء من بيت الجيران.""}]",[],"[""Culture"", ""Social Customs""]"
502,الصَّنْبَعَة,الصنبعة,صنبع,Noun,مزلاج خشبي,قطعة خشبية تستخدم لقفل الأبواب من الداخل.,General,"[""قفل"", ""مزلاج""]",[],تعتبر من الأقفال التقليدية القديمة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 78,"[{""h"": ""صنبع الباب قبل ما ترقد."", ""f"": ""أقفل الباب بالمزلاج الخشبي قبل أن تنام.""}]",[],"[""Tools"", ""House"", ""Door""]"
503,الصِّبْيَان,الصبيان,صبي,Noun,مساعدو العرسان,مجموعة من الأشخاص يقومون بخدمة العريس وتجهيزه في ليلة الزفاف.,General,"[""مساعد""]",[],مصطلح اجتماعي مرتبط بطبقات معينة كانت تقوم بهذه المهنة قديماً.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 78,"[{""h"": ""الصبيان يجهزون العريس للحراوة."", ""f"": ""المساعدون يجهزون العريس لمراسم الزفاف.""}]",[],"[""Social Customs"", ""Marriage"", ""Help""]"
504,صَنِي,صني,صني,Noun,بساط سعفي للنوافذ,بساط من سعف النخيل يوضع على النوافذ في الشتاء لمنع دخول الهواء البارد.,General,"[""بساط سعفي""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 78,"[{""h"": ""ركب الصني على الخلاف الجو برد."", ""f"": ""ركب البساط السعفي على النافذة، الجو بارد.""}]",[],"[""Agriculture"", ""Winter"", ""Window""]"
505,الصَّفَافَة,الصفافة,صفف,Noun/Verb,نقل أثاث العروس,عملية نقل وترتيب أثاث ومتاع العروس من بيت أهلها إلى بيتها الجديد.,General,"[""زفاف الأثاث""]",[],تتم عادة قبل ليلة العرس بيوم أو يومين.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 78,"[{""h"": ""اليوم صفافة بيت فلان."", ""f"": ""اليوم يتم نقل وترتيب أثاث بيت فلان (العروس).""}]",[],"[""Social Customs"", ""Marriage"", ""Furniture""]"
506,الصَّنِي,الصني,صني,Noun,طعم الصيد,الطعم الذي يوضع في السنارة لجذب الأسماك عند الاصطياد.,General,"[""طعم""]",[],تستخدم نفس الكلمة السابقة لكن بمعنى مختلف تماماً.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 79,"[{""h"": ""حط الصني في السنارة."", ""f"": ""ضع الطعم في سنارة الصيد.""}]",[],"[""Sea"", ""Daily Life""]"
507,الصُّوَيْر,الصوير,صور,Adjective,الأطرش / الأصم,وصف للشخص الذي فقد حاسة السمع.,General,"[""أصم"", ""أطرش""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 79,"[{""h"": ""لا تناديه، الرجال يتصور."", ""f"": ""لا تناديه، الرجل يسوي نفسه أصم.""}]",[],"[""Description"", ""Health"", ""Deaf""]"
508,الصَّمَّار,الصمار,صمر,Noun,وعاء جلدي (للعسل والزيت),إناء قوي ومحكم مصنوع من الجلد، له فتحة واحدة، مخصص لحفظ العسل أو الزيت.,General,"[""وعاء""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 79,"[{""h"": ""عسل في الصمار."", ""f"": ""عسل محفوظ في الوعاء الجلدي.""}]","[""فلان صمار عسل"", ""النخر مثل الصمار""]","[""Tools"", ""Food"", ""Jar""]"
509,صَاع,صاع,صوع,Noun,مكيال (صاع),وحدة مكيال تقليدية معروفة منذ القدم لقياس الحبوب.,General,"[""مكيال""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 79,"[{""h"": ""اشترى صاعين بر."", ""f"": ""اشترى صاعين من القمح.""}]",[],"[""Measurements"", ""Food""]"
510,الصَّقَع,الصقع,صقع,Adjective,أصم / لا يسمع,وصف للشخص الذي لديه ضعف شديد في السمع أو أصم.,General,"[""صوير"", ""أطرش""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 79,"[{""h"": ""كلمه بصوت عالي، الرجال فيه صقع."", ""f"": ""حدثه بصوت عالٍ، الرجل لديه صمم.""}]",[],"[""Description"", ""Health"", ""Deaf""]"
511,الصُّبْحَة,الصبحة,صبح,Noun,صباحية العرس,الصباح الذي يلي ليلة العرس، وله طقوس معينة لزيارة العروسين.,General,"[""صباحية""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 79,"[{""h"": ""راحوا لبيت العريس في الصبحة."", ""f"": ""ذهبوا لبيت العريس في صباحية العرس.""}]",[],"[""Social Customs"", ""Marriage"", ""Morning""]"
512,شَنَق,شنق,شنق,Verb,أمال رأسه,فعل يعني إمالة الرأس للنظر بتركيز أو بشكل جانبي.,General,"[""أمال""]",[],تختلف عن شنق الإعدام، هنا تتعلق بحركة الرأس.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 79,"[{""h"": ""شنق رأسه يبي يشوف وش داخل."", ""f"": ""أمال رأسه يريد أن يرى ما في الداخل.""}]",[],"[""Action"", ""Sight""]"
513,الصَّرَابَة,الصرابة,صرب,Noun,حصاد القمح,موسم حصاد البر (القمح) وقطع السبول، وتطلق أيضاً على المرأة التي تقوم بعملية الحصاد.,General,"[""حصاد""]",[],كلمة مرتبطة بالثقافة الزراعية التقليدية في أودية حضرموت.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 79,"[{""h"": ""اليوم بدأت الصرابة في البلاد."", ""f"": ""اليوم بدأ حصاد القمح في المنطقة.""}, {""h"": ""الصرابة تعب لكن فرحتها كبيرة."", ""f"": ""حصاد القمح متعب لكن فرحته كبيرة.""}]",[],"[""Agriculture"", ""Harvest""]"
514,صَبْر البئر,صبر البئر,صبر,Noun,حافة البئر,الجزء العلوي أو الحافة المحيطة بفتحة البئر.,General,"[""حافة""]",[],يُحذر دائماً الأطفال من اللعب عند صبر البئر.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 79,"[{""h"": ""حط الدلو على صبر البئر."", ""f"": ""ضع الدلو على حافة البئر.""}]",[],"[""Daily Life"", ""Architecture""]"
515,الصَّارُون,الصارون,صرن,Noun,الإزار المخيط (الفوطة),نوع من الإزار الرجالي يكون مخيطاً بشكل دائري، يتميز بنقوشه المربعة وألوانه المتعددة.,General,"[""سارون"", ""فوطة""]",[],الكلمة ذات أصل إندونيسي (Sarong) انتقلت لحضرموت عبر الهجرة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 79,"[{""h"": ""اشتريت صارون نقشة يافعية."", ""f"": ""اشتريت إزاراً مخيطاً بنقشة يافعية.""}, {""h"": ""الصارون أريح في اللبس من الفوطة العادية."", ""f"": ""الإزار المخيط أريح في اللبس من الإزار المفتوح.""}]",[],"[""Daily Life"", ""Clothing"", ""Sarong""]"
516,الصُّدَيْرِيَّة,الصديرية,صدر,Noun,لباس صدري للبنات,قطعة ملابس تلبسها الفتيات الصغيرات لتغطية الصدر قبل سن البلوغ.,General,[],[],لباس تقليدي كان شائعاً جداً في الماضي.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 79,"[{""h"": ""البنت لبست الصديرية فوق الثوب."", ""f"": ""لبست البنت اللباس الصدري فوق الفستان.""}]",[],"[""Daily Life"", ""Clothing"", ""Child""]"
517,الصَّار - الصَّارَة,الصار,صرر,Noun,نوع من ثمار النخيل,ثمار قاسية تشبه جوز الهند الصغير، لها قشرة حلوة ولب أبيض قاسٍ يؤكل.,General,[],[],تنتجها أنواع معينة من النخيل تتميز بسعف عريض كالكف.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 80,"[{""h"": ""جبنا صار من نخلة الواشنطون."", ""f"": ""أحضرنا ثمار الصار من النخلة.""}]",[],"[""Agriculture"", ""Nature"", ""Dates""]"
518,الصَّيْم,الصيم,صيم,Noun,نوع من التمر,أحد أصناف التمور المشهورة في حضرموت.,General,[],[],يتميز بجودته وقدرته على البقاء لفترة طويلة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 80,"[{""h"": ""تمر الصيم ذا السنة طعمه حالي."", ""f"": ""تمر الصيم هذا العام طعمه حلو.""}]",[],"[""Agriculture"", ""Food"", ""Dates""]"
519,صَكَّة,صكه,صكك,Adjective,غبي أو أهبل,وصف للشخص الذي لا يفهم بسرعة أو يتصرف بحماقة.,General,"[""أهبل"", ""غبي""]",[],تستخدم في سياق الذم أو العتاب الخفيف. بشد الكاف,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 80,"[{""h"": ""يا صكه ركز في كلامي."", ""f"": ""يا غبي ركز في كلامي.""}]",[],"[""Daily Life"", ""Descriptions""]"
520,صَفَّاف,صفاف,صفف,Noun,الصرصار,حشرة الصرصار التي تصدر صوتاً في الليل.,General,"[""صرصور""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 80,"[{""h"": ""الصفاف يزعجنا بصوته في الليل."", ""f"": ""الصرصار يزعجنا بصوته ليلاً.""}]",[],"[""Nature"", ""Insects"", ""Night""]"
521,صَكّ,صك,صكك,Noun,حاجز صخري,حاجز متدرج مبني من الصخر المرصوف والنورة، يعمل كجسر أو حماية للقلاع.,General,"[""حاجز"", ""جسر""]",[],يستخدم في البناء التقليدي لزيادة قوة المنشأة. بشد الصاد,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 80,"[{""h"": ""الحصن مبني فوق صك قوي."", ""f"": ""الحصن مبني فوق حاجز صخري قوي.""}]",[],"[""Daily Life"", ""Architecture"", ""Rock""]"
522,الصُّخَيْرِيَّة,الصخيرية,صخر,Noun,نوع من الطيور الصغيرة,طائر صغير الحجم، أصغر من طائر العول، ويمتاز بسهولة صيده.,General,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 80,"[{""h"": ""مسكنا صخيرية في القبه."", ""f"": ""أمسكنا طائراً صغيراً في الشبكة.""}]",[],"[""Nature"", ""Birds"", ""Small""]"
523,الصُّمْبَرَة,الصمبرة,صمبر,Noun,الحمص,حبوب الحمص التي تؤكل مسلوقة أو تضاف للطعام.,General,"[""بليلة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 80,"[{""h"": ""نبغى صمبرة مع العشاء."", ""f"": ""نريد حمصاً مع العشاء.""}]",[],"[""Daily Life"", ""Food"", ""Chickpeas""]"
524,صَهْدُود,صهدود,صهد,Noun,كسور الزجاج,بقايا الزجاج المكسور، وجمعها صهاديد.,General,"[""كسار""]",[],يجب الحذر منها عند المشي حافياً.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 80,"[{""h"": ""انتبه من الصهاديد لا تجرح رجلك."", ""f"": ""انتبه من كسور الزجاج لكي لا تجرح قدمك.""}, {""h"": ""انتبه من الصهاديد لا تيرح ريلك."", ""f"": ""انتبه من كسور الزجاج لكي لا تجرح قدمك.""}]",[],"[""Daily Life"", ""Glass""]"
525,السَّخَر,السخر,سخر,Noun,الفحم,الفحم المستخدم للتدفئة أو الطبخ أو البخور.,General,"[""فحم""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 81,"[{""h"": ""شعل السخر للمبخرة."", ""f"": ""أشعل الفحم للمبخرة.""}]",[],"[""Daily Life"", ""Fire""]"
526,الصَّرَك,الصرك,صرك,Noun,الشارع المسفلت,الطريق العام المرصوف بالإسفلت.,General,"[""خط"", ""شارع""]",[],كلمة ربما تطورت من 'شارع' أو 'سكة'.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 81,"[{""h"": ""السيارة تمشي في الصرك."", ""f"": ""السيارة تسير في الشارع المسفلت.""}]",[],"[""Daily Life"", ""Road""]"
527,صَفَاط,صفاط,صفط,Noun,المزح,الملاطفة بالكلام والضحك والدعابة.,General,"[""مزح"", ""ضحك""]",[],يقال 'فلان صفاط' أي كثير المزاح. بشد الصاد,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 81,"[{""h"": ""كلنا كنا في ساعة صفاط."", ""f"": ""كنا جميعاً في ساعة مزح.""}]",[],"[""Daily Life"", ""Social Customs"", ""Joke""]"
528,صَمْصُوم,صمصوم,صمم,Adjective,شاب مؤدب وشجاع,تطلق على الشاب الطيب، المؤدب، الذي يسمع الكلام ويعتمد عليه.,General,"[""نشيط"", ""مطيع""]",[],تستخدم كثيراً كمدح للأبناء.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 81,"[{""h"": ""ولدي صمصوم يسمع الكلام."", ""f"": ""ابني شاب مطيع ومؤدب.""}]",[],"[""Daily Life"", ""Descriptions"", ""Active""]"
529,الصُّر,الصر,صرر,Noun,السرة,فتحة السرة في جسم الإنسان.,General,"[""سرة""]",[],بشد الصاد,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 81,"[{""h"": ""الطفل عنده وجع في صره."", ""f"": ""الطفل يعاني من ألم في سرته.""}]",[],"[""Daily Life"", ""Health""]"
530,صَه,صه,صه,Expression,اسكت,كلمة زجر تستخدم للأمر بالسكوت.,General,"[""اصمت""]",[],لفظة فصيحة مستخدمة بكثرة في اللهجة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 81,"[{""h"": ""صه لا تتكلم والناس يتحدثون."", ""f"": ""اسكت لا تتحدث والناس يتكلمون.""}]",[],"[""Daily Life"", ""Expressions"", ""Silence""]"
531,الصِّيْب,الصيب,صيب,Noun,الذرية والأبناء,تطلق على الأولاد أو النسل.,General,"[""ذرية""]",[],يقال 'يا زين الصيب' أي ما أجمل الأبناء.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 81,"[{""h"": ""الله يبارك لك في الصيب."", ""f"": ""بارك الله لك في ذريتك.""}]",[],"[""Daily Life"", ""Family""]"
532,أَصَابِع زَيْنَب,اصابع زينب,صبع,Noun,نوع من التمر,صنف من التمور الحضرمية يتميز بشكل أصابع طويلة وطعم حلو جداً.,General,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 81,"[{""h"": ""خرفنا اليوم تمر أصابع زينب."", ""f"": ""جنينا اليوم تمر أصابع زينب.""}]",[],"[""Agriculture"", ""Food"", ""Dates""]"
533,الصَّالِي,الصالي,صلي,Noun,أجير زراعي,الشخص الذي يتم استئجاره للعمل في الأرض الزراعية مقابل أجر.,General,"[""عامل""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 81,"[{""h"": ""الصالي يشتغل في الجرب من الصبح."", ""f"": ""العامل الأجير يعمل في الحقل منذ الصباح.""}]",[],"[""Agriculture"", ""Worker""]"
534,الضَّبْرَة,الضبره,ضبر,Noun,زاوية الغرفة,ركن الغرفة أو زاوية الجدار.,General,"[""ركن""]",[],بشد الضاد,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 83,"[{""h"": ""حط الكرسي في الضبرة."", ""f"": ""ضع الكرسي في زاوية الغرفة.""}]",[],"[""Daily Life"", ""Room""]"
535,ضَوِيْلَة,ضويلة,ضول,Noun,نوع من شجر البر,شجرة تنبت في البراري، تمتاز بأعوادها الرخوة.,General,[],[],بضم الضاد,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 83,"[{""h"": ""أعواد الضويلة ما تصلح للبناء."", ""f"": ""أعواد شجر الضويلة لا تصلح للبناء.""}]",[],"[""Nature"", ""Tree""]"
536,الضِّيْقَة,الضيقة,ضيق,Noun,مدخل البيت,الباب الخارجي للبيت أو الممر الضيق (الدهليز) المؤدي إلى الداخل.,General,"[""دهليز"", ""مدخل""]",[],سميت بذلك لضيق مساحتها في البيوت الطينية القديمة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 83,"[{""h"": ""وقف عند الضيقة لين يفتحون لك."", ""f"": ""انتظر عند مدخل البيت حتى يفتحوا لك.""}]","[""إذا دخلت الضيقة طلعت الرقاد""]","[""Daily Life"", ""Architecture"", ""Door""]"
537,الضِّيْفَة,الضيفة,ضيف,Noun,وليمة كبرى,وليمة غداء أو عشاء كبيرة تقام في المناسبات مثل الزواج (الحراوة).,General,"[""عزومة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 83,"[{""h"": ""الضيفة اليوم بعد صلاة العشاء."", ""f"": ""الوليمة اليوم بعد صلاة العشاء.""}]",[],"[""Social Customs"", ""Dinner""]"
538,ضَوَى,ضوى,ضوي,Verb,رجع أو عاد,العودة إلى المنزل بعد يوم عمل أو غياب.,General,"[""رجع""]",[],تستخدم كثيراً في المساء: 'فلان ضوى' أي وصل بيته.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 83,"[{""h"": ""متى تضوي من العمل؟"", ""f"": ""متى ستعود من العمل؟""}]",[],"[""Daily Life"", ""Work""]"
539,الضَّعُون والضَّاعِنَات,الضعون,ضعن,Noun,مرافقات العروس,نخبة مختارة من نساء أهل العروس، تتم استضافتهن في يوم الصبحة.,General,[],[],تقليد اجتماعي في الأعراس الحضرمية.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 83,"[{""h"": ""وصلت الضعون بيت العريس."", ""f"": ""وصلت مرافقات العروس إلى بيت العريس.""}]",[],"[""Social Customs"", ""Marriage"", ""Bride""]"
540,الضِّدِح,الضدح,ضدح,Noun,نبات ورقي يؤكل,نوع من الورقيات الخضراء، يشبه في طعمه واستخدامه الملوخية والسبانخ.,General,[],[],من الأكلات الشعبية التي تطبخ مع المرق.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 83,"[{""h"": ""سوت لنا أمي ضدح اليوم."", ""f"": ""طبخت لنا أمي نبات الضدح اليوم.""}]",[],"[""Daily Life"", ""Food"", ""Green""]"
541,الضحَى,الضحى,ضحى,Noun,وجبة الغداء,تستخدم في بعض مناطق حضرموت للإشارة إلى وجبة الغداء الرئيسية.,General,"[""غداء""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 84,"[{""h"": ""تفضلوا على الضحى."", ""f"": ""تفضلوا لتناول وجبة الغداء.""}]",[],"[""Daily Life"", ""Food"", ""Lunch""]"
542,الضَّمِيْر,الضمير,ضمر,Noun,سد صغير للحماية,بناء ضخم من الحجر يوضع في الأودية للتحكم في مسار السيول وإدخال المياه للأراضي الزراعية.,General,"[""سد""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 84,"[{""h"": ""انكسر الضمير من قوة السيل."", ""f"": ""تحطم السد الحجري من قوة السيل.""}]",[],"[""Agriculture"", ""Water""]"
543,ضَيْوَن,ضيون,ضين,Noun,أنثى القط,القطة الأنثى.,General,"[""قطة"", ""عري""]",[],بكسر الواو,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 84,"[{""h"": ""الضيون تحت الكرسي."", ""f"": ""القطة تحت الكرسي.""}]",[],"[""Nature"", ""Animals"", ""Cat""]"
544,الطَّهَارَة,الطهارة,طهر,Noun,دورة المياه,المكان المخصص للاستحمام وقضاء الحاجة.,General,"[""حمام"", ""خلاء""]",[],تسمية كناية عن النظافة والتطهر.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 85,"[{""h"": ""أين الطهارة؟ بغيت أتوضأ."", ""f"": ""أين دورة المياه؟ أريد الوضوء.""}]",[],"[""Daily Life"", ""Bath""]"
545,الطُّعْم,الطعم,طعم,Noun,الأكل أو الطعام,بضم الطاء، وتعني الزاد أو ما يؤكل.,General,"[""أكل""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 85,"[{""h"": ""الطعم جاهز، حياكم."", ""f"": ""الطعام جاهز، تفضلوا.""}]","[""ما ينفع الطُّعم تحت العقبة""]","[""Daily Life"", ""Food"", ""Eat""]"
546,الطُّفَل,الطفل,طفل,Noun,طين الاستنجاء,قطعة من الطين الجاف والناعم تستخدم في الماضي للاستنجاء أو لتنظيف الحبوب.,General,[],[],كان يستخدم قديماً قبل توفر المناديل الورقية.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 85,"[{""h"": ""جيب طفل من الجبل."", ""f"": ""أحضر طيناً ناعماً من الجبل.""}]",[],"[""Daily Life"", ""History""]"
547,طُلاب,طلاب,طلب,Noun,متسول,الشخص الذي يسأل الناس الصدقة أو المال.,General,"[""شحات"", ""سائل""]",[],بشد اللام,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 85,"[{""h"": ""في طلاب عند باب المسجد."", ""f"": ""يوجد متسول عند باب المسجد.""}]",[],"[""Daily Life"", ""Beggar""]"
548,الطَّيْرَمَة,الطيرمة,طرم,Noun,الغرفة العلوية,الطابق الأخير في البيت الطيني، وتسمى أيضاً رأس البيت.,General,"[""رأس البيت""]",[],تكون عادة أبرد من بقية الأدوار.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 85,"[{""h"": ""نحن سهرنا في الطيرمة اليوم."", ""f"": ""سهرنا في الغرفة العلوية اليوم.""}]",[],"[""Daily Life"", ""Architecture"", ""Roof""]"
549,الطَّمْس,الطمس,طمس,Noun,منفذ مائي,منفذ له باب صغير، يصل بين الريم والمرواح في نظام الري.,General,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 85,"[{""h"": ""افتح الطمس يمر السيل."", ""f"": ""افتح المنفذ ليمر السيل.""}]",[],"[""Agriculture"", ""Water""]"
